>        Total_score          EM2D_score           DSS_XL_score         EDC_XL_score             PDB_file            RMF_file
>        257.489264179        39.5646275267        82.5071915569        73.0368752522             16.0.pdb            16.0.rmf3
>        259.532553638        31.7086277117        90.9780060605        75.6667006428             37.0.pdb            37.0.rmf3
>        260.509374111        35.8321774193        87.4561031415        75.9799228095             42.0.pdb            42.0.rmf3
>        260.848806113        33.4375009546        90.0166905956        74.7119204356             48.0.pdb            48.0.rmf3
>        261.415486251        28.0675509699        92.4278276553         77.637611681             52.0.pdb            52.0.rmf3
>        261.919849014        34.7419675572        94.7232061179        71.8093443017             59.0.pdb            59.0.rmf3
>        262.270808963         32.861546417        88.3499204079        75.8131532098             67.0.pdb            67.0.rmf3
>        262.642564682        36.7021057161        92.4173712378        68.2815617213             74.0.pdb            74.0.rmf3
>        263.694644549        36.9605094332        88.3392061675        74.3653500092             88.0.pdb            88.0.rmf3
>        264.339165958        34.3860234601        89.6614238561          72.14808099            103.0.pdb           103.0.rmf3
>        265.008879847         33.182624063        87.7203310781        74.9644316455            115.0.pdb           115.0.rmf3
>        265.033941289        31.6065562943         88.095884646        77.4402471493            116.0.pdb           116.0.rmf3
>        265.325039145        31.3833377828        93.6344373927        76.1418988433            124.0.pdb           124.0.rmf3
>        265.701378548        39.1340932625        94.9045782348        69.9375504072            134.0.pdb           134.0.rmf3
>        265.840227988        39.1535407293        87.1278906692        73.3536972281            139.0.pdb           139.0.rmf3
>        265.909666035        31.3451153844        91.8352564347        76.6497781304            141.0.pdb           141.0.rmf3
>        265.958112167        45.1781935899         85.408092647        68.5178638798            142.0.pdb           142.0.rmf3
>        266.021535311        36.7515038831        81.9407786574        80.7277955454            144.0.pdb           144.0.rmf3
>        266.048869469         46.093847649        81.1849305347         71.268593695            147.0.pdb           147.0.rmf3
>        266.272621744         30.227701784        90.5288402894        77.2362001838            154.0.pdb           154.0.rmf3
>        266.400148329        40.3591590794        90.9799535708        70.5524926431            156.0.pdb           156.0.rmf3
>        266.845881687        29.5524083152        90.9013754568        79.3150257216            166.0.pdb           166.0.rmf3
>        266.931144164        35.3634705731        89.3462530008        74.6817835278            169.0.pdb           169.0.rmf3
>        267.088559756        38.7139941558        86.9566545855        75.0999336157            172.0.pdb           172.0.rmf3
>        267.171281609        36.6760069303        91.5554907809        74.1210994073            176.0.pdb           176.0.rmf3
>        267.177925955        35.0316478964        91.1284858159        73.7161934762            177.0.pdb           177.0.rmf3
>        267.538911977        26.4645962641         97.939699607        78.3188034581            186.0.pdb           186.0.rmf3
>        267.625726532        37.6015978392         82.747583056        81.1225540029            190.0.pdb           190.0.rmf3
>        267.712550146        37.2875696847        89.2046427516        74.4532527188            195.0.pdb           195.0.rmf3
>        267.770276288        37.9393229418        85.6408618722        75.2244834009            197.0.pdb           197.0.rmf3
>        267.823544118        46.5169184844        81.8881936129        75.0152198535            199.0.pdb           199.0.rmf3
>         267.86848148        41.1472413142        82.7295255686        73.8752401331            202.0.pdb           202.0.rmf3
>        267.953259727        43.1856033085        82.0383260926         76.377584456            208.0.pdb           208.0.rmf3
>        267.970950793        49.5240355311        78.4962621394        75.5834700532            209.0.pdb           209.0.rmf3
>        268.022546559        42.5521697481        80.4960248056        79.2834406411            211.0.pdb           211.0.rmf3
>        268.039222963        27.2467213135        87.1697037314        83.4035752409            215.0.pdb           215.0.rmf3
>        268.071025552        35.1115368524        96.4251937312        73.7665503357            218.0.pdb           218.0.rmf3
>         268.12942495        32.2643823747        86.7431253114         75.612608796            223.0.pdb           223.0.rmf3
>        268.153959306        36.3277216981        95.8259982193        74.4371195775            224.0.pdb           224.0.rmf3
>        268.314787177        36.0966705773         96.989810054        72.3631670832            228.0.pdb           228.0.rmf3
>        268.316885913        30.5309317946        89.4814497006        81.2285080198            229.0.pdb           229.0.rmf3
>        268.329707909        40.0673490238        91.4725576545        73.9045215967            230.0.pdb           230.0.rmf3
>         268.36028083        40.6886434291         90.120097085         71.735804352            232.0.pdb           232.0.rmf3
>        268.589027279        40.9634735814        82.6352179899        73.5368808342            243.0.pdb           243.0.rmf3
>        268.609890517        35.8805732442        95.1763357152        74.1269166393            244.0.pdb           244.0.rmf3
>        268.739375738        38.8548673737        88.1049955615        72.5622709704            250.0.pdb           250.0.rmf3
>        268.779623197        41.6144476626        80.4470346585        82.7589758571            252.0.pdb           252.0.rmf3
>         268.82329657        50.4989988533         76.330399878        78.5834536716            253.0.pdb           253.0.rmf3
>        268.880997282        41.4895076109        83.5229757381        74.1403458423            255.0.pdb           255.0.rmf3
>        269.045752914        38.4750847611        86.6149555423        74.7030894272            260.0.pdb           260.0.rmf3
>        269.130183536        43.9585500242         83.333256746        77.2097938722            264.0.pdb           264.0.rmf3
>        269.202761034        36.9230473951        98.4553439404        70.6824802612            269.0.pdb           269.0.rmf3
>        269.338422069        31.8055343544        92.2060626596        78.3112057433            281.0.pdb           281.0.rmf3
>        269.417010539        50.9371499028        83.9951867745         68.896756919            288.0.pdb           288.0.rmf3
>        269.475377258        31.0254266685        93.4141286334        76.7396089906            291.0.pdb           291.0.rmf3
>        269.533081882        31.4380817292        94.1785377511         75.755174381            293.0.pdb           293.0.rmf3
>        269.618901133        50.8347890957        84.8137939499        67.9444499233            295.0.pdb           295.0.rmf3
>        269.690282969        50.4055605193        87.8627080399        68.7157101899            297.0.pdb           297.0.rmf3
>        269.701627254         34.238825081        93.1087951506        72.3719003742            298.0.pdb           298.0.rmf3
>        269.720975027        43.7210180786        88.3760339757         74.276418734            299.0.pdb           299.0.rmf3
>        269.724959942        45.1813658304        82.7119761026         78.051422944            300.0.pdb           300.0.rmf3
>        269.751301987        61.9605565174        76.0951270989        70.6506166535            302.0.pdb           302.0.rmf3
>          269.8995064        50.6513018903        84.2193489657        66.3725112044            311.0.pdb           311.0.rmf3
>        269.912108602        30.0933139021        92.6557663042        76.4866968307            312.0.pdb           312.0.rmf3
>        269.913437458         39.016809393        84.9968466441        76.5062441948            313.0.pdb           313.0.rmf3
>        269.927642387        48.9708126475        82.1135100482        75.4942334158            315.0.pdb           315.0.rmf3
>        270.014222784        37.0249514673        92.0308057471        77.6507013078            323.0.pdb           323.0.rmf3
>        270.069447236        34.7542875642        86.3734590081        80.0307225311            326.0.pdb           326.0.rmf3
>        270.187450691        38.4154645039        89.7530643721        74.9556084136            333.0.pdb           333.0.rmf3
>        270.212734226        45.4314255293        85.0089945695        73.5583404264            337.0.pdb           337.0.rmf3
>        270.233163724        38.0319622521          90.30505488        78.4047077789            339.0.pdb           339.0.rmf3
>        270.327192986         54.340005817        82.7687946666        70.2242524223            343.0.pdb           343.0.rmf3
>        270.368936768        40.1691476882          91.41787125        75.1511357859            348.0.pdb           348.0.rmf3
>        270.369782373        28.8675312598        88.1416469379        80.2824167904            349.0.pdb           349.0.rmf3
>        270.415153141        40.8850204071        85.6000392075        77.5694167694            353.0.pdb           353.0.rmf3
>        270.418436484        33.3160454058        99.1549044847        73.4918073838            354.0.pdb           354.0.rmf3
>        270.449308445        31.2713857408        94.4048130228        77.8969750221            356.0.pdb           356.0.rmf3
>        270.516375044        39.3242184067        82.4093643577        74.6751410823            365.0.pdb           365.0.rmf3
>        270.656270596        41.4788695463        87.4593887753        75.6059154802            371.0.pdb           371.0.rmf3
>        270.721393471         39.907407106          89.52365318        73.0200884778            377.0.pdb           377.0.rmf3
>        270.841001993         35.899372327        96.0937779627        74.7122295039            381.0.pdb           381.0.rmf3
>        270.893971259        40.9875563242        88.5067383131        78.5231489906            383.0.pdb           383.0.rmf3
>        270.927238381        32.5211200691        89.2188047875        77.4214013668            385.0.pdb           385.0.rmf3
>        270.974854331        40.8272860381        98.3349200791        68.1919292088            387.0.pdb           387.0.rmf3
>        270.976613923        40.5080748387        91.5568173543        75.6992204114            388.0.pdb           388.0.rmf3
>        271.197547543        34.5850666053        87.4066577196        75.0524359484            408.0.pdb           408.0.rmf3
>        271.229099673        30.2255039802        92.4738325829        76.7533200138            412.0.pdb           412.0.rmf3
>        271.414645472        33.6916439159        88.6297985863        79.6251897581            425.0.pdb           425.0.rmf3
>        271.474567172        37.8460339593        83.6102101595        78.9940566865            428.0.pdb           428.0.rmf3
>        271.568745629        30.0746853156        87.8028616843         86.497417438            431.0.pdb           431.0.rmf3
>        271.612881222         38.931619613        87.9354270121        76.3557583284            435.0.pdb           435.0.rmf3
>        271.644136592         38.690117437        82.4987351412        79.8080467521            436.0.pdb           436.0.rmf3
>         271.68184484        51.6178001548        85.9692861964        70.9524145642            439.0.pdb           439.0.rmf3
>        271.754455087        31.2537649726        97.8163428963        77.6294548053            443.0.pdb           443.0.rmf3
>        271.827483576        51.8544658706        85.1048480633        69.5494269082            451.0.pdb           451.0.rmf3
>        272.014914593        46.2454963064        94.3128595619        65.6672477966            465.0.pdb           465.0.rmf3
>        272.045943298        39.2509939012        91.1407267684        77.3079203738            470.0.pdb           470.0.rmf3
>        272.070580004        36.1636204711        95.4659524458        74.2633728895            472.0.pdb           472.0.rmf3
>        272.157190784         43.605782898        76.6266606222         81.648249061            482.0.pdb           482.0.rmf3
>        272.189604576        40.7168161697        90.7741834423        75.4368974066            483.0.pdb           483.0.rmf3
>        272.214495078        37.7190211326        99.4641776556        71.2800394311            484.0.pdb           484.0.rmf3
>        272.260710968        32.9326518049        95.7193574765        83.6257844747            488.0.pdb           488.0.rmf3
>         272.30926019        43.7758040742        86.8479583851        76.8531554447            493.0.pdb           493.0.rmf3
>        272.313051557        36.7915793283        94.6266957407        74.2389376507            494.0.pdb           494.0.rmf3
>         272.37870797         39.490347308        82.7241891915        80.9051328865            500.0.pdb           500.0.rmf3
>        272.451338202        38.6412929605        94.7140288012        73.8897231084            503.0.pdb           503.0.rmf3
>         272.46176531        43.1985302619        85.7128825405        81.8474666006            504.0.pdb           504.0.rmf3
>        272.528041671         33.815968821         93.398806373        71.0225087931            509.0.pdb           509.0.rmf3
>           272.536688        35.9828917091        92.2588920817        76.7005043279            510.0.pdb           510.0.rmf3
>        272.617689639        54.6960101399        81.9007048899        68.1076877995            512.0.pdb           512.0.rmf3
>         272.67490111        38.0292177526         89.894859991        72.4438112447            519.0.pdb           519.0.rmf3
>         272.75143953        38.8334227279        84.0200663858        79.9223128294            523.0.pdb           523.0.rmf3
>        272.753613246        48.4848254518        85.4892626586        76.2257121473            524.0.pdb           524.0.rmf3
>        272.776593484        42.4740963243        88.5900730793        77.5005713033            526.0.pdb           526.0.rmf3
>        272.780838293        41.3394311428        86.2443988804        75.6851175295            528.0.pdb           528.0.rmf3
>        272.827783605        41.5331097816        85.4651808423        76.5003311712            530.0.pdb           530.0.rmf3
>        273.003832971         53.066284117        87.6636439968        71.4763407733            544.0.pdb           544.0.rmf3
>        273.020760164        37.8407328782         90.683872721        76.1808039207            545.0.pdb           545.0.rmf3
>        273.207060354         30.625199524        91.0056032535        80.3448103623            554.0.pdb           554.0.rmf3
>        273.247188953        41.8511696842         89.373917418        74.5415043356            556.0.pdb           556.0.rmf3
>        273.260536475        33.8266676057        90.5845194883        83.1248196335            557.0.pdb           557.0.rmf3
>        273.292627023        45.5694661164        97.4976385092        66.9646957975            566.0.pdb           566.0.rmf3
>        273.345032512        39.1924994373        93.6600229637        75.7667513889            574.0.pdb           574.0.rmf3
>         273.37480251        40.2959659101         86.826281214        77.7751888682            578.0.pdb           578.0.rmf3
>        273.375430184        41.1062497782        82.9758378998          84.11431229            579.0.pdb           579.0.rmf3
>        273.427150797        35.3744309665        94.6144310881        77.8488768788            582.0.pdb           582.0.rmf3
>        273.437047119        51.7632528683        84.2271907363        71.4780638228            583.0.pdb           583.0.rmf3
>        273.532151752        37.0482502254        93.4396126576         79.801762725            587.0.pdb           587.0.rmf3
>        273.568168903        46.7025092225        83.7114354515        74.0272104227            590.0.pdb           590.0.rmf3
>         273.58010715        36.2376390893        92.8843297614         76.910009198            591.0.pdb           591.0.rmf3
>        273.606647691         51.385464019        85.6937067491        72.1839044716            594.0.pdb           594.0.rmf3
>        273.632939325        42.8823855432        79.6424747258        80.6691414366            599.0.pdb           599.0.rmf3
>        273.660082792        41.6818601498        84.2785412214        85.2378129577            603.0.pdb           603.0.rmf3
>        273.755860066         44.579863531        83.3987216649        77.0144079274            617.0.pdb           617.0.rmf3
>        273.758436876        38.4391327094         96.323521485        75.0447662291            618.0.pdb           618.0.rmf3
>        273.773914675         36.431062636        85.6334835994        81.9657854731            621.0.pdb           621.0.rmf3
>        273.797086047        44.6907328345        79.3521377174         81.708540649            623.0.pdb           623.0.rmf3
>        273.924450981        39.4764324027        90.2869578989        70.9579214104            633.0.pdb           633.0.rmf3
>        273.926187307        40.4750369361        92.0262245109        78.2626969939            635.0.pdb           635.0.rmf3
>        273.936935536        40.5610642852        85.6003366894        82.9895942003            637.0.pdb           637.0.rmf3
>        273.946884669        42.0190260504        84.9534867547        77.6701303272            642.0.pdb           642.0.rmf3
>         273.96301131        41.1820840665        85.7776624541        77.2971644587            648.0.pdb           648.0.rmf3
>        274.054667669        37.5931655379        93.4837914684        81.4006330661            659.0.pdb           659.0.rmf3
>        274.066583177        38.8754405047        90.3013550628        77.9133932237            660.0.pdb           660.0.rmf3
>        274.279712804        40.8669943883        94.4397909648        71.9531245816            680.0.pdb           680.0.rmf3
>        274.333587505         44.260661458        88.4007006424        77.4712176427            683.0.pdb           683.0.rmf3
>        274.388188486        51.7220661397        78.1762512898         78.375485727              6.1.pdb             6.1.rmf3
>        274.400848674        31.2508316519        92.0580769749        83.1842979359              7.1.pdb             7.1.rmf3
>        274.420642143        36.1721735232        90.1487368231        79.4929225528             10.1.pdb            10.1.rmf3
>        274.435013551        35.8368345407        88.6353063717        81.9293040275             12.1.pdb            12.1.rmf3
>        274.481773142        41.2574773222        96.9036302026        72.0576485906             17.1.pdb            17.1.rmf3
>          274.5136901        38.3407516904        92.6598589633        78.8897817158             21.1.pdb            21.1.rmf3
>        274.521496429        49.1890721716        82.8124108138        71.8705774022             23.1.pdb            23.1.rmf3
>        274.544845141        32.2019267144        89.8971183824        78.6747779748             29.1.pdb            29.1.rmf3
>        274.615502819        44.4767552685        89.2293892314         75.746176899             33.1.pdb            33.1.rmf3
>        274.700341802        37.4873876139        93.4803668586        74.7855336366             40.1.pdb            40.1.rmf3
>        274.735649378        43.3148175922        83.3653114175        78.1616086116             45.1.pdb            45.1.rmf3
>        274.776673005        40.2896191381        89.3495991207        78.2469120603             48.1.pdb            48.1.rmf3
>        274.778586451        44.7231085175        83.2140129169        78.2347208731             49.1.pdb            49.1.rmf3
>        274.785096207        35.3821275537        89.0996934388        78.7244820071             52.1.pdb            52.1.rmf3
>        274.830754534        40.4852279309         90.560686804        74.6962775521             55.1.pdb            55.1.rmf3
>        274.840387397        36.0144174484        94.9926939204        75.3816063952             56.1.pdb            56.1.rmf3
>        274.867633588        33.5927929955        92.6261525988        80.7057570883             60.1.pdb            60.1.rmf3
>        274.921790193        44.3164192384        85.6434387185        74.3018593278             63.1.pdb            63.1.rmf3
>        274.936157192         34.485547534        87.2438477653        87.3382513535             66.1.pdb            66.1.rmf3
>        274.946172916        36.1179651742        94.2792679782        75.8684497162             68.1.pdb            68.1.rmf3
>         274.95833621        46.5613038014        87.5967648773         72.961381792             71.1.pdb            71.1.rmf3
>        274.977479016        38.2137927329        91.7272176419        76.5978843447             73.1.pdb            73.1.rmf3
>        275.018476229         47.150360814        83.3524766325        76.9569763077             78.1.pdb            78.1.rmf3
>        275.042411291        28.6758108836         100.10479129        78.8060977692             83.1.pdb            83.1.rmf3
>        275.063510442        41.9246951264        96.7314958919        73.3083408814             88.1.pdb            88.1.rmf3
>        275.149884552        41.6685087295        86.2823723245        81.0951446198             97.1.pdb            97.1.rmf3
>        275.156368632        44.9707888423        84.9392682915         80.786539053             99.1.pdb            99.1.rmf3
>        275.188243144        38.6384427914        93.0528463569        79.8617597486            104.1.pdb           104.1.rmf3
>        275.196943349         32.053806093        98.1977186993        79.6903327375            105.1.pdb           105.1.rmf3
>        275.205879681        50.2013412484         87.319529511        71.7009875153            107.1.pdb           107.1.rmf3
>        275.270132891        39.6824474753        91.5105229436        79.8147993961            119.1.pdb           119.1.rmf3
>        275.289852714         51.883814222        82.9737074922        68.8628044234            121.1.pdb           121.1.rmf3
>        275.314797984        52.0109451468        85.1021938564        69.1324301427            124.1.pdb           124.1.rmf3
>        275.413381971        40.6926237124        91.7296724067        72.2539935413            136.1.pdb           136.1.rmf3
>        275.469210997        33.2579630524        95.2568217848         77.335147818            140.1.pdb           140.1.rmf3
>        275.472503719         41.448367326        87.4133486935        79.7154713902            141.1.pdb           141.1.rmf3
>        275.476154098        45.0723376617        86.0478395258          78.94735546            143.1.pdb           143.1.rmf3
>        275.492986262        43.4894833667        89.8856745747        74.3716691526            145.1.pdb           145.1.rmf3
>        275.551521251        43.2833928808        83.9994100005        79.1838566437            147.1.pdb           147.1.rmf3
>        275.603782091        38.4181603578        98.1253843073        75.8398659479            153.1.pdb           153.1.rmf3
>        275.652244845         38.246758029        85.4921639413        78.7870128708            158.1.pdb           158.1.rmf3
>        275.690525333        39.0763882804         86.208073361        76.5118813251            163.1.pdb           163.1.rmf3
>        275.696377039        44.0341390405        84.3151068974        76.5049375124            165.1.pdb           165.1.rmf3
>        275.726135149        43.1539246951        79.4017767577        79.7422020065            169.1.pdb           169.1.rmf3
>        275.818396557        42.2892505964        81.9695366466        72.6190608884            179.1.pdb           179.1.rmf3
>         275.85924167        43.0243174289        90.6409376759        73.5498559859            183.1.pdb           183.1.rmf3
>        275.890746964        42.1942182017        91.0165507313        77.5457463636            190.1.pdb           190.1.rmf3
>        275.902477072        33.1377145352        89.3594932597         87.916623932            192.1.pdb           192.1.rmf3
>        276.033992441        47.2064816995        87.6466252868        75.8905509315            201.1.pdb           201.1.rmf3
>        276.138147707        51.7687531089        84.7718035254        69.6490737971            212.1.pdb           212.1.rmf3
>        276.166261446         44.027278338        88.3534697571        77.3510391825            214.1.pdb           214.1.rmf3
>        276.206263286        40.9229140155        84.1637057016         79.011779036            221.1.pdb           221.1.rmf3
>        276.212489064         33.509447819        94.8448171623        78.8622426161            223.1.pdb           223.1.rmf3
>        276.220893179        39.9353521543        92.0929039657        78.2544189365            225.1.pdb           225.1.rmf3
>        276.236739539        30.5707931715        91.1245993146        86.5446369433            229.1.pdb           229.1.rmf3
>        276.300625279        38.9665454676        86.2751573523         82.467190866            238.1.pdb           238.1.rmf3
>          276.3847062        38.2107417628        92.3598187713        76.9941633221            245.1.pdb           245.1.rmf3
>        276.425639063        49.5778618748        87.1581275482        72.0730725172            247.1.pdb           247.1.rmf3
>        276.481970874        38.7335897612        91.9160510039        74.1460958581            254.1.pdb           254.1.rmf3
>        276.486781701        42.6968418235          89.60769592        76.7626663083            255.1.pdb           255.1.rmf3
>        276.524924737        33.8988750783        92.6805409417        75.3804495178            259.1.pdb           259.1.rmf3
>        276.525359006        42.5642598045        93.9678475086        76.6614071541            260.1.pdb           260.1.rmf3
>        276.560622152        37.7806379522        90.8694100574        77.8888110752            262.1.pdb           262.1.rmf3
>        276.590385233          37.00023367        96.1708412257        71.3087671038            266.1.pdb           266.1.rmf3
>        276.611035544        41.0209658829        85.7252523102        85.0825991192            270.1.pdb           270.1.rmf3
>        276.664874253        45.0037726797        96.0612757439        67.8633683335            277.1.pdb           277.1.rmf3
>        276.688342972        47.9743617292        85.4589709577        76.1289460256            280.1.pdb           280.1.rmf3
>        276.701326794        39.0374765222        93.3270576721        77.9407022901            283.1.pdb           283.1.rmf3
>        276.721442434         36.655657071        88.4837383445        87.9448654196            285.1.pdb           285.1.rmf3
>        276.754496238        38.6001284816        98.9259637856        71.5663657328            291.1.pdb           291.1.rmf3
>        276.781990638        39.1444566036        91.7692567983        80.2246138068            294.1.pdb           294.1.rmf3
>        276.858548625        38.8130347458        104.093596018        72.5630531193            304.1.pdb           304.1.rmf3
>        276.863674753        39.9744289601        80.7456734018        88.3074924637            305.1.pdb           305.1.rmf3
>        276.869956269        37.8296172175        85.6504905321        83.9909342641            306.1.pdb           306.1.rmf3
>        276.888068254        41.7373893363        93.5829781112        69.4826351832            310.1.pdb           310.1.rmf3
>        276.910865024        43.0951647461        91.2817112629          74.94706653            315.1.pdb           315.1.rmf3
>        276.920531966        41.4655852485        88.8918910833        74.7222688292            317.1.pdb           317.1.rmf3
>        276.960519041        36.7077180871        93.1575857623        81.6878299874            323.1.pdb           323.1.rmf3
>        277.006259441        53.5327915813        84.4684013341        70.2512911465            327.1.pdb           327.1.rmf3
>        277.016179606        41.1962766714        85.0940427687        82.1145380953            329.1.pdb           329.1.rmf3
>        277.063087969        39.8864754419        96.7446470043        76.7934245679            343.1.pdb           343.1.rmf3
>        277.164407229         53.501122751        88.4624741598         66.560244431            352.1.pdb           352.1.rmf3
>        277.261456066         58.662668497        75.8659487217        80.6504251311            360.1.pdb           360.1.rmf3
>        277.265168433        40.6529825667        93.5932203645        76.6967761161            362.1.pdb           362.1.rmf3
>        277.287387992        38.2032188663        96.7427595848         71.594489117            366.1.pdb           366.1.rmf3
>        277.289093941        37.7089755626        97.9269690011        77.7262585816            367.1.pdb           367.1.rmf3
>        277.336326993        44.6200702941        85.0903634955        76.9938668796            376.1.pdb           376.1.rmf3
>        277.354245813        32.7391579192        90.9069672895         87.902164414            382.1.pdb           382.1.rmf3
>        277.369167763        45.0417469182        95.4988625081         68.416862235            385.1.pdb           385.1.rmf3
>        277.415508805        43.4575165124        89.0450222612        76.1286176115            391.1.pdb           391.1.rmf3
>        277.455807457        42.0800590619        91.7589742335        76.6710774866            397.1.pdb           397.1.rmf3
>        277.475720452         41.212531474        83.5509380387         81.434399068            400.1.pdb           400.1.rmf3
>        277.487460847        49.0319386793        86.4436268991        73.6993101056            402.1.pdb           402.1.rmf3
>        277.518130614        33.2802727385        98.7008587801         81.410369208            406.1.pdb           406.1.rmf3
>          277.5250719        40.9218398984        95.2931304338         77.753514711            407.1.pdb           407.1.rmf3
>        277.537967907        35.6869917448        94.9386038206        81.1553853986            409.1.pdb           409.1.rmf3
>        277.588729634        39.9282216212        87.4565427766         86.061571804            413.1.pdb           413.1.rmf3
>        277.589305577        39.4283383405        93.3134246369        75.0213143223            414.1.pdb           414.1.rmf3
>        277.597372191        42.4539991929        83.9371699925        80.4915522686            416.1.pdb           416.1.rmf3
>        277.627457402        36.6096986875         99.696833153        75.1820150022            421.1.pdb           421.1.rmf3
>         277.63908029        43.2001422755        84.0986876695        80.4259005497            423.1.pdb           423.1.rmf3
>        277.661355908        59.1177217603        77.2108814669        72.0347684577            427.1.pdb           427.1.rmf3
>        277.681803049        36.7444589225        104.609543576         72.885269349            433.1.pdb           433.1.rmf3
>        277.688697777        37.4540407226        95.8027321912        73.1264622094            435.1.pdb           435.1.rmf3
